දහය,10. ten
10,10. ten
දහය,10
10,දහය
එකොළහ,11. eleven
11,11. eleven
එකොළහ,11
11,එකොළහ
දොළහ,12. twelve
12,12. twelve
දොළහ,12
12,දොළහ
දහතුන,13. thirteen
13,13. thirteen
දහතුන,13
13,දහතුන
දහහතර,14. fourteen
14,14. fourteen
දහහතර,14
14,දහහතර
පහළොව,15. fifteen
15,15. fifteen
පහළොව,15
15,පහළොව
දහසය,16. sixteen
16,16. sixteen
දහසය,16
16,දහසය
දහහත,17. seventeen
17,17. seventeen
දහහත,17
17,දහහත
දහඅට,18. eighteen
18,18. eighteen
දහඅට,18
18,දහඅට
දහනවය,19. nineteen
19,19. nineteen
දහනවය,19
19,දහනවය
එක,1. one
1,1. one
එකක්,1. one
එක,1
එක,එකක්
1,එක
1,එකක්
එකක්,එක
එකක්,1
විස්ස,20. twenty
20,20. twenty
විස්ස,20
20,විස්ස
දෙක,2. two
2,2. two
දෙක,2
2,දෙක
තුන,3. three
3,3. three
තුන,3
3,තුන
හතර,4. four
4,4. four
හතර,4
4,හතර
පහ,5. five
5,5. five
පහ,5
5,පහ
හය,6. six
6,6. six
හය,6
6,හය
හත,7. seven
7,7. seven
හත,7
7,හත
අට,8. eight
8,8. eight
අට,8
8,අට
නවය,9. nine
9,9. nine
නවය,9
9,නවය
එකතු කිරීම,Addition
පස්සේ,After
පසුව,After
පස්සේ,පසුව
පසුව,පස්සේ
නැවත,Again
ආයෙත්,Again
නැවත,ආයෙත්
ආයෙත්,නැවත
ගුවන් තොටුපල,Airport
එයාර්පෝට්,Airport
ගුවන් තොටුපල,එයාර්පෝට්
එයාර්පෝට්,ගුවන් තොටුපල
ඉඩ දෙනවා,Allow
Allow,Allow
ඉඩ දෙනවා,Allow
Allow,ඉඩ දෙනවා
හරි,Alright
තවද,Also
තරහයි,Angry
කේන්තිය,Angry
කෝපය,Angry
තරහයි,කේන්තිය
තරහයි,කෝපය
කේන්තිය,තරහයි
කේන්තිය,කෝපය
කෝපය,තරහයි
කෝපය,කේන්තිය
අප්‍රේල්,April
වටේ,Around
වටා,Around
වටේ,වටා
වටා,වටේ
ලිපිය,Article
අගෝස්තු,August
නැන්දා,Aunt
නැන්දේ,Aunt
නැන්දා,නැන්දේ
නැන්දේ,නැන්දා
ආයුබෝවන්,Ayubowan
බිළිඳා,Baby
නරක,Bad
බෑගය,Bag
බෑග් එක,Bag
බෑගය,බෑග් එක
බෑග් එක,බෑගය
බැංකුව,Bank
බැංකු,Bank
බැංකුව,බැංකු
බැංකු,බැංකුව
නානවා,Bathe
නාන්න,Bathe
නෑවා,Bathe
සිරුර සෝදනවා,Bathe
නානවා,නාන්න
නානවා,නෑවා
නානවා,සිරුර සෝදනවා
නාන්න,නානවා
නාන්න,නෑවා
නාන්න,සිරුර සෝදනවා
